#,Protein Name,Organism,Uniprot ID,UniProt_Main,Ensamble ID
1,A0A2Z5U3Z0_9INFA_A0A2Z5U3Z0_9INFA_Doud_2016,Virus,A0A2Z5U3Z0,,
2,BLAT_ECOLX_BLAT_ECOLX_Deng_2012,E-Coli,P62593,,
3,BLAT_ECOLX_BLAT_ECOLX_Jacquier_2013,E-Coli,P62593,,
4,CBS_urn:mavedb:00000005-a,Human,P35520,,ENSG00000160200
5,CCDB_ECOLI_CCDB_ECOLI_Tripathi_2016,E-Coli,P62554,,
6,CcdB_urn:mavedb:00000084-a,E-Coli,P62554,,
7,CCR5_urn:mavedb:00000047-c,Human,P51681,,
8,CYP2C9_urn:mavedb:00000095-a,Human,S5RV20,,
9,CYP2C9_urn:mavedb:00000095-b,Human,P11712,,
10,IF1_ECOLI_IF1_ECOLI_Kelsic_2016,E-Coli,P69222,IF1_ECOLI,
11,KKA2_KLEPN_KKA2_KLEPN_Melnikov_2014,Bacteria,P00552,KKA2_KLEPN,
12,NUDT15_urn:mavedb:00000055-0,Human,Q9NV35,,
13,NUDT15_urn:mavedb:00000055-a,Human,Q9NV35,,
14,p53_urn:mavedb:00000059-a,Human,P04637,,
15,PTEN_urn:mavedb:00000013-a,Human,P60484,,
16,PTEN_urn:mavedb:00000054-a,Human,P60484,,
17,Q2N0S5_9HIV1_Q2N0S5_9HIV1_Haddox_2018,Virus,Q2N0S5,,
18,R1AB_SARS2_R1AB_SARS2_Flynn_growth_2022,,,,
19,RL401_YEAST_RL401_YEAST_Mavor_2016,Yeast,P0CH08,,
20,SARS-CoV-2_receptor_binding_domain_urn:mavedb:00000044-a,Virus,,,
21,SARS-CoV-2_receptor_binding_domain_urn:mavedb:00000044-b,Virus,,,
22,SUMO1_urn:mavedb:00000001-b,Human,P63165,,ENSG00000116030
23,TEM-1_beta-lactamase_urn:mavedb:00000070-a,Escherichia coli,P62593,,
24,TEM-1_beta-lactamase_urn:mavedb:00000086-c,Escherichia coli,P62593,,
25,TEM-1_beta-lactamase_urn:mavedb:00000086-d,Escherichia coli,P62593,,
26,TEM-1_beta-lactamase_urn:mavedb:00000086-e,Escherichia coli,P62593,,
27,TEM-17_beta-lactamase_urn:mavedb:00000085-b,Bacteria,O32372,,
28,TP53_(P72R)_urn:mavedb:00000068-c,Human,P04637,,
29,VIM-2_with_p.Met1_Phe2insGly_urn:mavedb:00000073-a,Bacteria,,,
30,VIM-2_with_p.Met1_Phe2insGly_urn:mavedb:00000073-c,Bacteria,,,
31,VIM-2_with_p.Met1_Phe2insGly_urn:mavedb:00000073-d,Bacteria,,,
32,VIM-2_with_p.Met1_Phe2insGly_urn:mavedb:00000073-f,Bacteria,,,
33,VIM-2_with_p.Met1_Phe2insGly_urn:mavedb:00000073-g,Bacteria,,,
34,VIM-2_with_p.Met1_Phe2insGly_urn:mavedb:00000073-h,Bacteria,,,
35,VKOR_urn:mavedb:00000078-a,Human,Q9BQB6,,ENSG00000167397
36,VKOR_urn:mavedb:00000078-b,Human,Q9BQB6,,